Trace
Swept SA
A.14.12,N9010A
3853900000,-66.335807800293
3857600000,-66.7198104858398
3861300000,-66.8209457397461
3865000000,-66.1885223388672
3868700000,-66.8731155395508
3872400000,-66.4567642211914
3876100000,-66.2579650878906
3879800000,-67.2931137084961
3883500000,-67.2698745727539
3887200000,-66.0281982421875
3890900000,-66.5363998413086
3894600000,-66.8807983398438
3898300000,-66.4835586547852
3902000000,-66.6947631835938
3905700000,-66.9465637207031
3909400000,-66.2568206787109
3913100000,-67.0581741333008
3916800000,-66.8756256103516
3920500000,-66.2850112915039
3924200000,-67.0343627929688
3927900000,-66.2930908203125
3931600000,-66.8791961669922
3935300000,-66.8054122924805
3939000000,-67.0474853515625
3942700000,-66.6098937988281
3946400000,-66.0927124023438
3950100000,-66.0680160522461
3953800000,-66.3150787353516
3957500000,-66.4549255371094
3961200000,-66.0127868652344
3964900000,-66.3378372192383
3968600000,-66.3858108520508
3972300000,-66.8769607543945
3976000000,-66.017204284668
3979700000,-66.5090866088867
3983400000,-66.3895034790039
3987100000,-66.3316497802734
3990800000,-66.0986328125
3994500000,-66.5370559692383
3998200000,-66.8021240234375
4001900000,-65.9236297607422
4005600000,-66.2585983276367
4009300000,-67.0969085693359
4013000000,-66.173583984375
4016700000,-65.5457000732422
4020400000,-66.4103927612305
4024100000,-66.8988800048828
4027800000,-65.1605911254883
4031500000,-66.7566299438477
4035200000,-66.0839157104492
4038900000,-65.1209030151367
4042600000,-66.5545120239258
4046300000,-66.4329223632813
4050000000,-66.4811782836914
4053700000,-66.3151779174805
4057400000,-65.5858612060547
4061100000,-65.6995162963867
4064800000,-66.2894897460938
4068500000,-65.9100036621094
4072200000,-66.2690505981445
4075900000,-66.0961608886719
4079600000,-66.5044403076172
4083300000,-66.6129531860352
4087000000,-66.1211090087891
4090700000,-65.7760772705078
4094400000,-66.8753662109375
4098100000,-66.3194961547852
4101800000,-66.5882186889648
4105500000,-66.0022201538086
4109200000,-66.5369110107422
4112900000,-67.4737777709961
4116600000,-66.9406890869141
4120300000,-66.4743957519531
4124000000,-66.1904525756836
4127700000,-66.9203720092773
4131400000,-65.7703704833984
4135100000,-66.2556838989258
4138800000,-67.3810501098633
4142500000,-66.407341003418
4146200000,-66.979377746582
4149900000,-65.3655471801758
4153600000,-65.4003448486328
4157300000,-66.1082611083984
4161000000,-66.9880676269531
4164700000,-66.5590362548828
4168400000,-65.5943222045898
4172100000,-66.3050918579102
4175800000,-67.315803527832
4179500000,-66.3363037109375
4183200000,-66.8598403930664
4186900000,-66.7085266113281
4190600000,-67.1334915161133
4194300000,-66.6685333251953
4198000000,-66.7729873657227
4201700000,-66.7518463134766
4205400000,-66.5028762817383
4209100000,-66.8198013305664
4212800000,-65.4398498535156
4216500000,-66.4593811035156
4220200000,-65.7518081665039
4223900000,-65.5608978271484
4227600000,-66.406982421875
4231300000,-66.0433578491211
4235000000,-65.7663726806641
4238700000,-66.1127014160156
4242400000,-65.993896484375
4246100000,-66.4592895507813
4249800000,-66.4637832641602
4253500000,-65.8274993896484
4257200000,-66.4840545654297
4260900000,-66.1784133911133
4264600000,-65.405517578125
4268300000,-65.3218154907227
4272000000,-65.8114624023438
4275700000,-65.8036346435547
4279400000,-66.3204650878906
4283100000,-66.8820419311523
4286800000,-65.8394241333008
4290500000,-65.6360168457031
4294200000,-66.4320449829102
4297900000,-66.2279052734375
4301600000,-65.7591857910156
4305300000,-65.6175994873047
4309000000,-65.5126800537109
4312700000,-66.1830291748047
4316400000,-65.2270431518555
4320100000,-65.7307357788086
4323800000,-66.5033264160156
4327500000,-66.3807601928711
4331200000,-65.8950576782227
4334900000,-64.4496841430664
4338600000,-65.5749969482422
4342300000,-65.6419219970703
4346000000,-65.3413696289063
4349700000,-65.7301940917969
4353400000,-65.0320510864258
4357100000,-65.9728088378906
4360800000,-65.4149475097656
4364500000,-65.9529647827148
4368200000,-65.4436950683594
4371900000,-65.2123184204102
4375600000,-66.0575408935547
4379300000,-65.0241775512695
4383000000,-64.6803512573242
4386700000,-65.4659576416016
4390400000,-65.8217086791992
4394100000,-65.6615371704102
4397800000,-65.4521255493164
4401500000,-65.2118377685547
